"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Central African Republic","CAF","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7641.54876651682","7529.00297774185","7616.97320016327","7782.92897388185","7971.05824834315","7995.23710734235","8070.95400503596","8069.49923971315","7963.20719845056","8117.62871957032","8224.74786425172","8017.16666642228","7943.44588697183","8303.4318789013","8371.02231862308","8369.95929648006","8427.44174185883","8356.30636250042","8098.35289361915","7696.33407281264","7660.75452103288","7716.24822782698","7637.78487245197","7668.79466344868","7780.1475931021","7690.40816617685","7944.50789345873","8175.19037647623","8161.77967501099","8125.58121311618","7495.07932297849","7524.86361233157","7578.02093601237","7336.06703531427","7156.1150442459","",
"Central Europe and the Baltics","CEB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3096.32937879539","2844.62251740774","2619.82875751712","2612.60198016026","2507.84753404283","2613.5509797867","2702.89757516476","2643.57991186793","2521.97659479724","2398.70518193016","2381.7789875388","2463.92432408414","2488.20279463695","2575.75689670154","2585.0570772537","2629.49750034566","2703.24241265251","2711.3043952263","2714.57232709977","2531.74340604357","2657.48197415251","2658.75435879536","2585.09598428927","2544.19963483215","2486.69110195474","2528.22006328076","2589.29903149768","2707.96339038787","2762.10272447413","2699.50660805025","2621.63600452965","2806.97546373865","2683.1570949953","2527.170728517","2776.30686099912","",
"Switzerland","CHE","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3617.21670838019","3623.74654312174","3606.20840062565","3479.20943929761","3482.93560412511","3405.68478072749","3459.89061670209","3513.12639714122","3544.34495422887","3533.47941266544","3466.50613217002","3658.06649907658","3537.53750331779","3524.60535957512","3513.04226751483","3469.41664326823","3600.20599088199","3391.3409304186","3480.20255913467","3460.61144395548","3323.41218501892","3181.06687778874","3175.97090168674","3274.49948136129","3031.17447656808","2927.96015319396","2819.83095943189","2809.47945669194","2806.4991558403","2857.15819180217","2690.39023280182","2619.80556120156","2591.92141040481","2511.37154209497","2491.51225467078","",
"Channel Islands","CHI","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1042.63924696805","1048.54685125944","1115.74449791436","1125.82760632048","1192.35792309529","1262.61937956632","1378.90684276783","1523.53564987188","1557.21131062443","1633.86338932833","1623.48012689232","1574.84475911504","1612.43130205148","1612.22953620512","1699.73240740445","1735.08874376693","1788.47442583539","1836.95620548021","1801.2828820239","1735.83895157902","1795.6817303266","1937.32339633854","2123.49178972428","2177.50491871487","1946.21181666587","1968.30286182049","2070.46958170364","2065.97571745805","2067.9764736837","2154.35451877758","1946.16760616995","2032.98120427379","2081.99751245711","2059.27616196845","2029.03299532593","",
"China","CHN","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","773.250116673841","740.586120549437","756.63514647117","792.633509359554","821.273750333988","872.82633002387","884.894160616361","876.489344673065","872.405987083978","880.738578841902","898.07500446721","921.506436459842","976.159336791292","1105.13742396493","1249.04415339994","1369.79197119649","1490.18647938836","1595.46606847798","1629.97754209383","1728.61645229501","1899.79996108685","2027.46525356855","2085.21872095825","2137.32572690907","2177.55011435267","2175.1544486832","2149.2047500244","2215.91139022057","2310.87757050979","2397.96868908473","2465.96954605987","2623.79959356116","2676.48200976111","2850.94152906511","","",
"Cote d'Ivoire","CIV","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","356.502117281303","352.461369088107","369.364695221915","367.602465008283","362.145601848293","346.984629535557","374.944288632764","368.164390395265","353.64180757645","408.120587715421","383.698511747895","359.274350379988","374.217410519231","345.063532585105","474.644512103845","479.367342054554","460.427068503443","484.162880249649","475.685968287363","426.33967683994","369.59298919728","412.202996239574","442.184553267778","446.309801337907","438.71877312695","383.889010732408","391.655583364613","392.588824263082","358.54922881191","376.743212908005","385.900911896689","475.7701142407","483.894918210023","483.503922762538","","",
"Cameroon","CMR","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","439.606062625838","431.11357000305","423.490408119425","425.855803438794","428.433215568987","424.113046017593","423.04888018603","426.60075345789","427.346733797867","419.366598563602","425.839473286279","419.668248263033","429.502648089236","435.147080636702","437.082365532497","428.539594062507","385.035153073309","352.800578879997","345.872865150161","363.545092180369","356.137612718812","363.156706967406","368.67461829541","375.371615915553","395.064505975311","402.819924200123","399.88337314644","392.866372374935","392.351717702361","387.38570034475","386.861060816622","378.003030105632","374.114620505852","370.718209068186","","",
"Congo, Dem. Rep.","COD","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","321.669866238426","311.51635511713","306.67618026523","301.831840128151","288.919935754659","288.923002560147","293.054190992552","293.452619115135","292.579860554724","283.698094549272","275.387991752247","275.762066091527","276.777259129011","278.852304991619","281.570244519871","283.637336009607","285.454693557021","287.041319589996","288.80618607177","288.416335052288","289.77384157959","297.445424445388","355.439956409565","357.441615003334","359.368090770924","358.543260233681","355.067722347843","344.271076945444","336.643068217732","330.73190986829","370.503266549066","393.949173556287","417.968903605646","409.433571513278","","",
